Domain,Company,Revenue_FY (₹ Cr),Profit/Loss_FY (₹ Cr),Operating_Cashflow_FY (₹ Cr),Users (M),PMF,Burn/mo (₹ Cr),Base_Pricing (₹/mo),Premium_Pricing (₹/mo),Enterprise_Pricing (₹/mo),Data_Type
FMCG,Britannia,14600,2900,1520,61.8,5,16,1790,4980,19800,~assumed
FMCG,Nestle India,16700,3200,1710,72.3,5,19,1990,5980,21400,~assumed
Wearable Electronics,Noise,2180,380,190,13.2,4,11,890,2890,11400,~assumed
Wearable Electronics,boAt,3920,720,310,19.8,4,14,990,3180,12400,~assumed
Wearable Electronics,Fire-Boltt,1580,290,120,10.4,3,9,790,2480,9980,~assumed
Wearable Electronics,Fastrack,2640,480,210,14.6,4,12,890,2890,11200,~assumed
Wearable Electronics,Titan,11800,3200,1600,37.9,5,21,1990,5980,22400,~assumed
Wearable Electronics,Pebble,740,-90,-40,4.9,2,6,490,1580,6890,~assumed
Wearable Electronics,Tagg,890,120,60,6.1,3,8,590,1890,7820,~assumed
Cosmetics,Nykaa,4120,820,390,28.1,5,14,790,2480,9980,~assumed
Cosmetics,Sugar Cosmetics,1290,-190,-80,11.2,3,10,590,1780,6820,~assumed
Cosmetics,Mamaearth,2140,420,210,16.9,4,13,690,1980,7420,~assumed
Cosmetics,MyGlamm,980,-120,-60,8.7,3,8,490,1580,6320,~assumed
Cosmetics,Plum,640,-80,-30,6.1,2,6,390,1240,5180,~assumed
Cosmetics,Lotus Herbals,780,90,40,7.4,3,7,490,1580,6480,~assumed
Cosmetics,Colorbar,870,110,50,8.2,3,8,590,1890,7520,~assumed
Skincare,WOW Skin Science,2180,320,150,15.1,4,12,690,1980,7960,~assumed
Skincare,Biotique,1140,180,90,9.6,3,8,490,1580,6520,~assumed
Skincare,Forest Essentials,1540,260,120,12.8,4,10,690,1980,7980,~assumed
Skincare,Kama Ayurveda,1280,220,100,10.9,3,9,590,1780,7620,~assumed
Skincare,MCaffeine,870,130,60,8.1,3,7,490,1580,6920,~assumed
Skincare,Nivea India,3270,720,340,18.2,4,14,990,2890,11200,~assumed
Skincare,Himalaya,5620,1180,520,24.7,5,18,1290,3890,14900,~assumed
Food Tech,Zomato,8200,-1240,-580,54.1,4,84,249,890,3890,~assumed
Food Tech,Swiggy,7400,-1390,-620,48.7,4,78,199,890,4180,~assumed
Food Tech,FreshMenu,1180,-190,-90,9.4,3,16,490,1580,6720,~assumed
Food Tech,Rebel Foods,2360,-420,-210,12.9,3,22,690,1980,7890,~assumed
Food Tech,Box8,820,-140,-60,7.1,2,11,390,1240,5920,~assumed
Food Tech,EatFit,970,-120,-50,6.7,2,10,490,1580,6480,~assumed
Food Tech,Faasos,1490,-230,-110,9.3,3,18,590,1890,7860,~assumed
